deal_id,company,rep,category,status,value,close_date,month,quarter,month_name
DL-00000,Company_0166,Priya N.,Software,Won,451.24,2024-05-16,5,2,May
DL-00001,Company_0139,Priya N.,Software,Open,321.45,2024-12-13,12,4,Dec
DL-00002,Company_0093,Sarah K.,Support,Won,2405.0,2024-09-24,9,3,Sep
DL-00003,Company_0180,Marcus T.,Support,Won,532.94,2024-08-06,8,3,Aug
DL-00004,Company_0575,Sarah K.,Services,Won,287.56,2024-02-26,2,1,Feb
DL-00005,Company_0003,Marcus T.,Support,Open,240.47,2024-02-26,2,1,Feb
DL-00006,Company_0605,Dana W.,Software,Won,245.03,2024-01-22,1,1,Jan
DL-00007,Company_0388,Sarah K.,Software,Won,259.52,2024-11-12,11,4,Nov
DL-00008,Company_0271,Priya N.,Services,Won,471.44,2024-08-07,8,3,Aug
DL-00009,Company_0794,Sarah K.,Hardware,Won,231.3,2024-09-15,9,3,Sep
DL-00010,Company_0131,Sarah K.,Services,Won,2016.89,2024-01-08,1,1,Jan
DL-00011,Company_0583,Marcus T.,Services,Open,79437.6,2024-12-20,12,4,Dec
DL-00012,Company_0592,Sarah K.,Software,Won,1998.85,2024-10-30,10,4,Oct
DL-00013,Company_0511,Dana W.,Software,Won,353.73,2024-03-18,3,1,Mar
DL-00014,Company_0685,Sarah K.,Support,Won,2646.19,2024-03-07,3,1,Mar
DL-00015,Company_0051,Sarah K.,Software,Lost,609.625,2024-03-07,3,1,Mar
DL-00016,Company_0289,Sarah K.,Hardware,Won,2218.84,2024-04-21,4,2,Apr
DL-00017,Company_0445,Marcus T.,Hardware,Open,3164.55,2024-07-10,7,3,Jul
DL-00018,Company_0236,Sarah K.,Hardware,Open,668.25,2024-06-06,6,2,Jun
DL-00019,Company_0788,Marcus T.,Support,Won,497.12,2024-04-16,4,2,Apr
DL-00020,Company_0490,Marcus T.,Services,Open,697.68,2024-08-11,8,3,Aug
DL-00021,Company_0279,Sarah K.,Hardware,Won,2068.2,2024-02-20,2,1,Feb
DL-00022,Company_0043,Sarah K.,Software,Won,2565.72,2024-04-16,4,2,Apr
DL-00023,Company_0765,James L.,Services,Lost,1266.78,2024-05-13,5,2,May
DL-00024,Company_0358,Marcus T.,Services,Lost,2320.51,2024-06-15,6,2,Jun
DL-00025,Company_0645,Marcus T.,Software,Lost,628.23,2024-10-13,10,4,Oct
DL-00026,Company_0567,Unassigned,Support,Won,2224.77,2024-03-13,3,1,Mar
DL-00027,Company_0525,Priya N.,Hardware,Open,2822.3,2024-07-06,7,3,Jul
DL-00028,Company_0689,James L.,Software,Lost,2400.66,2024-08-04,8,3,Aug
DL-00029,Company_0461,James L.,Software,Won,3086.84,2024-01-17,1,1,Jan
DL-00030,Company_0100,Sarah K.,Software,Open,359.05,2024-08-09,8,3,Aug
DL-00031,Company_0691,Sarah K.,Services,Open,78218.23,2024-03-03,3,1,Mar
DL-00032,Company_0460,Marcus T.,Hardware,Won,2250.68,2024-01-24,1,1,Jan
DL-00033,Company_0768,James L.,Services,Lost,1558.45,2024-12-12,12,4,Dec
DL-00034,Company_0267,Sarah K.,Software,Open,350.04,2024-12-18,12,4,Dec
DL-00035,Company_0361,Priya N.,Software,Open,3594.8,2024-10-22,10,4,Oct
DL-00036,Company_0407,Priya N.,Software,Won,2189.8,2024-04-21,4,2,Apr
DL-00037,Company_0036,Marcus T.,Services,Lost,83715.92,2024-02-05,2,1,Feb
DL-00038,Company_0467,Sarah K.,Software,Open,53527.42,2024-09-06,9,3,Sep
DL-00039,Company_0715,Marcus T.,Software,Won,92441.63,2024-06-09,6,2,Jun
DL-00040,Company_0258,Sarah K.,Software,Lost,180.62,2024-02-14,2,1,Feb
DL-00041,Company_0508,Marcus T.,Services,Won,594.08,2024-06-29,6,2,Jun
DL-00042,Company_0666,Sarah K.,Services,Won,358.84,2024-01-13,1,1,Jan
DL-00043,Company_0749,Priya N.,Hardware,Won,307.3,2024-11-27,11,4,Nov
DL-00044,Company_0308,James L.,Hardware,Lost,488.77,2024-04-04,4,2,Apr
DL-00045,Company_0611,Priya N.,Services,Won,1992.45,2024-08-29,8,3,Aug
DL-00046,Company_0272,Priya N.,Software,Won,534.12,2024-04-23,4,2,Apr
DL-00047,Company_0624,Marcus T.,Software,Won,460.22,2024-07-08,7,3,Jul
DL-00048,Company_0109,Sarah K.,Services,Won,73778.98,2024-07-18,7,3,Jul
DL-00049,Company_0654,Sarah K.,Software,Won,194.02,2024-03-08,3,1,Mar
DL-00050,Company_0678,Marcus T.,Software,Lost,337.38,2024-12-19,12,4,Dec
DL-00051,Company_0259,James L.,Software,Lost,2501.01,2024-10-09,10,4,Oct
DL-00052,Company_0656,Dana W.,Software,Won,546.96,2024-12-08,12,4,Dec
DL-00053,Company_0741,Marcus T.,Software,Won,2246.87,2024-11-22,11,4,Nov
DL-00054,Company_0267,Marcus T.,Hardware,Lost,2440.14,2024-08-06,8,3,Aug
DL-00055,Company_0031,Marcus T.,Software,Won,2320.99,2024-12-02,12,4,Dec
DL-00056,Company_0730,Marcus T.,Software,Open,296.52,2024-02-02,2,1,Feb
DL-00057,Company_0176,Priya N.,Software,Won,2227.65,2024-03-12,3,1,Mar
DL-00058,Company_0103,Priya N.,Hardware,Won,555.26,2024-01-17,1,1,Jan
DL-00059,Company_0235,James L.,Hardware,Won,306.94,2024-04-28,4,2,Apr
DL-00060,Company_0092,Priya N.,Software,Won,1911.61,2024-05-21,5,2,May
DL-00061,Company_0200,Marcus T.,Hardware,Won,306.1,2024-04-09,4,2,Apr
DL-00062,Company_0742,Dana W.,Software,Won,362.33,2024-10-29,10,4,Oct
DL-00063,Company_0766,Priya N.,Services,Won,1357.46,2024-05-10,5,2,May
DL-00064,Company_0596,Marcus T.,Services,Won,609.625,2024-04-12,4,2,Apr
DL-00065,Company_0034,Marcus T.,Hardware,Won,2511.62,2024-07-17,7,3,Jul
DL-00066,Company_0116,James L.,Hardware,Open,434.35,2024-02-21,2,1,Feb
DL-00067,Company_0687,Marcus T.,Software,Lost,98855.52,2024-10-19,10,4,Oct
DL-00068,Company_0457,Marcus T.,Services,Lost,302.72,2024-01-28,1,1,Jan
DL-00069,Company_0470,Marcus T.,Software,Lost,287.31,2024-12-26,12,4,Dec
DL-00070,Company_0787,James L.,Support,Won,1371.64,2024-10-08,10,4,Oct
DL-00071,Company_0398,Marcus T.,Software,Lost,1938.31,2024-03-13,3,1,Mar
DL-00072,Company_0596,Priya N.,Services,Won,580.78,2024-01-03,1,1,Jan
DL-00073,Company_0116,James L.,Software,Won,312.89,2024-10-24,10,4,Oct
DL-00074,Company_0361,Dana W.,Software,Won,658.04,2024-09-15,9,3,Sep
DL-00075,Company_0203,James L.,Services,Open,74323.11,2024-09-23,9,3,Sep
DL-00076,Company_0145,Unassigned,Services,Lost,530.03,2024-10-08,10,4,Oct
DL-00077,Company_0443,Marcus T.,Software,Won,313.4,2024-01-28,1,1,Jan
DL-00078,Company_0726,Marcus T.,Software,Won,2289.76,2024-05-10,5,2,May
DL-00079,Company_0616,Sarah K.,Hardware,Won,310.63,2024-02-12,2,1,Feb
DL-00080,Company_0296,Dana W.,Software,Won,393.71,2024-11-11,11,4,Nov
DL-00081,Company_0580,James L.,Services,Open,2706.3,2024-08-15,8,3,Aug
DL-00082,Company_0486,Marcus T.,Services,Won,480.38,2024-04-30,4,2,Apr
DL-00083,Company_0766,Sarah K.,Services,Won,286.72,2024-01-24,1,1,Jan
DL-00084,Company_0230,Sarah K.,Software,Won,281.24,2024-04-23,4,2,Apr
DL-00085,Company_0202,Marcus T.,Hardware,Won,2230.14,2024-04-28,4,2,Apr
DL-00086,Company_0361,Sarah K.,Software,Won,386.64,2024-09-23,9,3,Sep
DL-00087,Company_0394,Priya N.,Software,Open,374.78,2024-08-20,8,3,Aug
DL-00088,Company_0247,Priya N.,Services,Open,285.98,2024-11-19,11,4,Nov
DL-00089,Company_0439,James L.,Software,Open,1804.58,2024-06-21,6,2,Jun
DL-00090,Company_0395,Sarah K.,Software,Lost,1855.54,2024-02-13,2,1,Feb
DL-00091,Company_0760,Marcus T.,Unknown,Lost,339.43,2024-09-17,9,3,Sep
DL-00092,Company_0655,James L.,Support,Open,347.98,2024-10-04,10,4,Oct
DL-00093,Company_0794,Marcus T.,Services,Open,467.16,2024-07-23,7,3,Jul
DL-00094,Company_0355,Sarah K.,Software,Open,58225.53,2024-10-08,10,4,Oct
DL-00095,Company_0400,Sarah K.,Software,Open,2274.09,2024-06-29,6,2,Jun
DL-00096,Company_0240,James L.,Services,Lost,313.77,2024-07-09,7,3,Jul
DL-00097,Company_0340,Priya N.,Services,Won,2073.17,2024-06-05,6,2,Jun
DL-00098,Company_0228,James L.,Software,Won,2647.97,2024-01-10,1,1,Jan
DL-00099,Company_0542,Sarah K.,Hardware,Lost,325.6,2024-02-09,2,1,Feb
DL-00100,Company_0620,James L.,Software,Won,102313.49,2024-01-12,1,1,Jan
DL-00101,Company_0538,Priya N.,Software,Open,338.34,2024-08-20,8,3,Aug
DL-00102,Company_0671,Sarah K.,Software,Open,68243.54,2024-04-24,4,2,Apr
DL-00103,Company_0528,Dana W.,Hardware,Lost,1882.48,2024-07-04,7,3,Jul
DL-00104,Company_0266,Priya N.,Software,Won,1678.43,2024-11-27,11,4,Nov
DL-00105,Company_0128,Dana W.,Software,Won,2193.48,2024-03-31,3,1,Mar
DL-00106,Company_0219,James L.,Software,Won,2282.41,2024-05-29,5,2,May
DL-00107,Company_0081,Marcus T.,Hardware,Won,3950.9,2024-10-02,10,4,Oct
DL-00108,Company_0560,Priya N.,Services,Lost,2089.51,2024-03-24,3,1,Mar
DL-00109,Company_0552,Marcus T.,Software,Won,352.02,2024-01-29,1,1,Jan
DL-00110,Company_0019,Priya N.,Hardware,Won,388.05,2024-04-15,4,2,Apr
DL-00111,Company_0326,Priya N.,Software,Won,324.63,2024-02-28,2,1,Feb
DL-00112,Company_0036,James L.,Services,Lost,482.41,2024-12-05,12,4,Dec
DL-00113,Company_0381,Sarah K.,Services,Won,2209.62,2024-10-21,10,4,Oct
DL-00114,Company_0038,Priya N.,Services,Open,2676.76,2024-08-19,8,3,Aug
DL-00115,Company_0108,Marcus T.,Software,Won,427.66,2024-11-14,11,4,Nov
DL-00116,Company_0428,Sarah K.,Hardware,Won,66469.73,2024-10-20,10,4,Oct
DL-00117,Company_0063,James L.,Services,Lost,2109.63,2024-03-09,3,1,Mar
DL-00118,Company_0174,Sarah K.,Support,Open,520.58,2024-11-21,11,4,Nov
DL-00119,Company_0790,Sarah K.,Hardware,Won,349.19,2024-07-15,7,3,Jul
DL-00120,Company_0031,Sarah K.,Unknown,Lost,311.53,2024-10-21,10,4,Oct
DL-00121,Company_0720,Marcus T.,Services,Open,609.625,2024-11-23,11,4,Nov
DL-00122,Company_0530,Marcus T.,Software,Lost,618.29,2024-04-26,4,2,Apr
DL-00123,Company_0105,Priya N.,Hardware,Won,456.11,2024-02-10,2,1,Feb
DL-00124,Company_0481,Priya N.,Hardware,Lost,74139.56,2024-03-24,3,1,Mar
DL-00125,Company_0205,Marcus T.,Hardware,Open,132.89,2024-06-04,6,2,Jun
DL-00126,Company_0246,Marcus T.,Software,Lost,305.49,2024-10-25,10,4,Oct
DL-00127,Company_0678,Sarah K.,Services,Open,91871.95,2024-11-10,11,4,Nov
DL-00128,Company_0088,Priya N.,Hardware,Won,2125.07,2024-01-03,1,1,Jan
DL-00129,Company_0315,Marcus T.,Hardware,Won,341.21,2024-07-05,7,3,Jul
DL-00130,Company_0010,Sarah K.,Software,Lost,100.0,2024-06-01,6,2,Jun
DL-00131,Company_0048,Sarah K.,Services,Won,446.32,2024-03-22,3,1,Mar
DL-00132,Company_0572,Marcus T.,Services,Open,2079.62,2024-02-13,2,1,Feb
DL-00133,Company_0170,Priya N.,Software,Open,2420.51,2024-05-03,5,2,May
DL-00134,Company_0142,Sarah K.,Support,Open,305.4,2024-12-10,12,4,Dec
DL-00135,Company_0206,Sarah K.,Services,Open,609.625,2024-04-27,4,2,Apr
DL-00136,Company_0462,Sarah K.,Services,Won,609.625,2024-07-08,7,3,Jul
DL-00137,Company_0508,Dana W.,Support,Open,364.77,2024-09-13,9,3,Sep
